,personid,prior_experience,age,tenure,basewage,bonus,grosswage,ageyoungestchild,costofcommute,children,rental,bedroom,expgroup,men,married,second_technical,high_school,tertiary_technical,university,internet,type
0,33278,0.0,20.0,22.0,1450.0,594.2222,2275.409,0,12.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
1,44800,5.0,25.0,2.0,1500.0,587.6,2742.29,0,12.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
2,32320,0.0,22.0,23.0,1600.0,2272.0,4578.473,0,4.0,no,yes,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
3,42152,48.0,25.0,5.0,1411.1111,624.44446,2279.6545,0,20.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
4,42096,0.0,23.0,5.0,1411.1111,405.8889,1933.8323,0,8.0,no,no,yes,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
5,44256,0.0,21.0,2.5,1500.0,335.66666,1863.9133,0,0.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
6,42682,0.0,22.0,4.0,1466.6666,613.7778,2216.5679,0,16.0,no,no,yes,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,phone call group
7,16424,0.0,22.0,47.0,1600.0,1319.2222,3130.1768,0,6.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
8,43524,30.0,24.0,3.0,1457.1428,405.42856,2344.97,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
9,18494,120.0,31.0,44.0,1600.0,1012.2222,3212.9255,0,15.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
10,42140,36.0,25.0,5.0,1466.6666,632.7778,2099.1511,0,15.0,yes,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
11,6364,0.0,26.0,82.0,1900.0,3965.889,6220.7456,2,12.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
12,23126,0.0,23.0,35.0,1600.0,1737.5555,4254.28,0,6.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,night shift (hotel)
13,39490,0.0,23.0,9.0,1450.0,1089.0,2858.081,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
14,35408,50.0,27.0,20.0,1550.0,1745.1111,3516.3389,1,10.0,yes,yes,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,pre-order group (hotel)
15,7076,24.0,30.0,72.0,2100.0,465.55554,2664.15,11,0.0,yes,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,pre-order group (hotel)
16,29024,36.0,26.0,26.0,1550.0,751.7778,2590.2634,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
17,39144,0.0,18.0,10.0,1222.2222,846.6667,2307.771,0,4.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
18,30002,66.0,26.0,25.0,1616.6666,1471.3334,3399.6855,0,12.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
19,41332,36.0,22.0,6.0,1422.2222,507.66666,2218.4744,0,6.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
20,40456,20.0,23.0,8.0,1433.3334,599.3333,2968.2412,0,12.0,no,yes,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
21,39164,0.0,19.0,10.0,1155.5555,645.3333,1957.4366,0,8.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
22,40334,0.0,23.0,8.0,1433.3334,1320.8889,3026.8367,0,20.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
23,38862,0.0,19.0,10.0,1222.2222,623.0,2009.2522,0,0.0,no,yes,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
24,40346,24.0,22.0,8.0,1433.3334,624.44446,2301.3977,0,4.5454545,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
25,13980,0.0,28.0,51.0,1650.0,2431.0,4468.087,0,6.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
26,25056,0.0,23.0,33.0,1600.0,1049.7778,2868.9067,0,2.0,no,yes,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
27,40008,7.0,20.0,9.0,1450.0,911.0,2668.0056,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
28,38842,0.0,19.0,10.0,1222.2222,651.7778,2019.5177,0,10.0,no,no,yes,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
29,42632,0.0,21.0,4.0,1466.6666,493.1111,2136.5278,0,12.0,no,no,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
30,26634,60.0,26.0,30.0,1600.0,864.8889,2804.9321,0,2.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
31,37292,0.0,21.0,13.0,1450.0,700.1111,2512.6978,0,10.0,no,yes,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
32,29996,24.0,23.0,25.0,1550.0,1118.4445,3353.4834,0,5.0,no,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
33,44794,24.0,23.0,3.0,1500.0,191.33333,2493.1733,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
34,27704,0.0,26.0,28.0,1500.0,909.3333,2699.391,0,4.0,no,yes,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
35,7068,0.0,28.0,72.0,1950.0,1983.2222,4341.824,0,0.0,no,yes,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
36,39458,0.0,21.0,9.0,1222.2222,596.55554,2032.7145,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
37,37276,0.0,22.0,13.0,1500.0,1267.7778,3096.649,0,5.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
38,26906,15.0,24.0,30.0,1755.5555,1194.8889,3297.5867,0,10.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
39,19684,0.0,22.0,41.0,1600.0,891.2222,2733.7522,0,14.0,no,yes,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
40,28560,0.0,20.0,27.0,1683.3334,1020.55554,2999.709,0,10.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
41,14220,48.0,28.0,51.0,1633.3334,984.44446,2799.641,1,12.0,yes,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,phone call group
42,8834,0.0,22.0,66.0,1750.0,1400.6666,3642.7166,0,0.0,no,yes,no,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
43,24146,3.0,24.0,34.0,1600.0,1222.5555,3205.0078,0,12.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
44,8522,36.0,30.0,66.0,1733.3334,1993.3334,4192.242,5,6.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
45,10098,0.0,28.0,63.0,2350.0,1739.4445,4315.2036,8,12.0,yes,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
46,31888,60.0,27.0,23.0,1550.0,1452.6666,3249.639,3,8.0,yes,no,yes,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,phone call group
47,33128,0.0,21.0,22.0,1550.0,1461.1111,3738.581,0,10.0,no,yes,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
48,19470,0.0,25.0,42.0,1650.0,1512.0,3500.1233,0,0.0,no,yes,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
49,43570,7.0,18.0,3.5,1400.0,316.5,2426.4233,0,12.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
50,40336,0.0,25.0,8.0,1433.3334,484.8889,1821.6888,0,6.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
51,17812,24.0,28.0,45.0,2566.6667,1670.8889,4705.16,2,12.0,yes,no,yes,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,post-order group (hotel)
52,40076,60.0,24.0,9.0,1450.0,561.3333,2068.1223,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
53,6278,43.0,32.0,77.0,1700.0,861.0,2918.7888,5,12.0,yes,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
54,45254,24.0,23.0,2.0,1500.0,164.6,1908.324,0,4.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
55,38046,3.0,21.0,11.0,1450.0,752.1111,2523.261,0,10.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
56,31136,0.0,23.0,24.0,1550.0,851.7778,2625.0566,0,8.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
57,37828,60.0,23.0,12.0,1538.8889,1219.8889,3457.8823,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,night shift (hotel)
58,42146,0.0,21.0,5.0,1411.1111,1008.8889,2605.5667,0,4.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
59,13710,0.0,30.0,52.0,1650.0,1647.0,3862.4946,2,5.0,yes,no,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
60,21648,24.88889,26.0,37.0,1600.0,851.8889,2644.3167,2,3.5,yes,no,yes,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,post-order group (hotel)
61,37812,30.0,26.0,12.0,1450.0,784.1111,2561.2578,0,12.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,pre-order group (hotel)
62,16334,0.0,30.0,47.0,1633.3334,1647.0,3429.5022,0,25.0,yes,no,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
63,7720,0.0,25.0,70.0,1750.0,821.44446,3048.3877,0,9.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
64,29172,72.0,26.0,26.0,1566.6666,1074.1111,2896.3333,0,9.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
65,38036,0.0,18.0,11.0,1222.2222,527.0,1927.6144,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
66,33366,24.0,25.0,22.0,1550.0,1149.8889,3233.3767,0,0.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,pre-order group (hotel)
67,17172,48.0,28.0,46.0,1600.0,2711.2222,4641.931,0,12.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
68,38074,60.0,27.0,11.0,1450.0,717.1111,2350.9421,3,12.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
69,43500,60.0,27.0,3.0,1457.1428,924.1429,2696.0227,3,10.0,yes,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
70,39748,6.0,22.0,9.0,1450.0,854.6667,2555.8745,2,0.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
71,39478,0.0,22.0,9.0,1450.0,823.44446,2486.9343,0,10.0,no,no,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
72,9710,60.0,33.0,64.0,1783.3334,1637.8889,3902.9268,0,10.0,no,no,yes,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,pre-order group (hotel)
73,25864,0.0,20.0,31.0,1650.0,2199.5557,4334.871,0,0.0,no,yes,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
74,39466,2.0,19.0,9.0,1450.0,669.1111,2377.7688,0,6.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
75,28484,0.0,23.0,27.0,1450.0,565.8889,2099.01,2,5.0,yes,yes,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,phone call group
76,45442,36.0,22.0,2.5,1500.0,270.25,2478.87,0,0.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
77,36288,6.0,25.0,19.0,1500.0,1113.7778,2848.52,0,0.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
78,14556,10.0,26.0,50.0,1500.0,2250.111,3796.1646,1,10.0,yes,yes,yes,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,notification group (airfare)
79,14384,36.0,32.0,50.0,1650.0,1664.5555,3665.389,0,8.0,no,no,yes,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,notification group (airfare)
80,11348,6.0,25.0,59.0,1600.0,961.7778,2752.5178,2,8.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
81,31150,0.0,23.0,24.0,1550.0,861.3333,2573.6223,0,3.0,no,yes,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
82,18502,0.0,26.0,44.0,1600.0,199.44444,2313.1667,0,9.0,no,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
83,44282,0.0,20.0,2.5,1500.0,294.5,1900.8916,0,12.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
84,34890,12.0,24.0,21.0,1500.0,523.1111,2244.5667,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
85,28224,18.0,27.0,27.0,1550.0,672.55554,3129.27,1,0.0,yes,yes,yes,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,phone call group
86,35822,48.0,27.0,20.0,1500.0,1364.7778,3590.5632,0,6.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
87,22022,0.0,22.0,36.0,1755.5555,1287.2222,3456.0156,0,4.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
88,28190,18.0,25.0,27.0,1550.0,565.0,2967.4812,0,10.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
89,16594,96.0,29.0,47.0,1550.0,1862.3334,3604.2979,1,20.0,yes,no,yes,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,phone call group
90,33354,0.0,21.0,22.0,1450.0,1007.44446,2702.929,0,4.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
91,42634,0.0,20.0,4.0,1466.6666,440.66666,2389.0444,0,0.0,no,yes,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
92,17160,24.0,27.0,46.0,1650.0,1313.7778,3390.2434,0,10.0,yes,no,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
93,17058,0.0,23.0,46.0,1600.0,793.55554,2623.0,0,8.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
94,38552,30.0,23.0,10.0,1627.7778,1213.7778,3576.5366,0,4.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
95,39502,12.0,19.0,9.0,1450.0,492.55554,2181.3599,0,30.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
96,16422,40.0,29.0,47.0,1600.0,535.2222,2239.6277,7,10.0,yes,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
97,12896,0.0,26.0,54.0,1700.0,2079.4443,4395.289,0,10.0,no,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
98,37798,1.0,21.0,12.0,1450.0,1806.7778,4099.7666,0,0.0,no,yes,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
99,12306,0.0,24.0,56.0,1650.0,1200.0,3494.9443,0,14.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
100,12426,73.0,30.0,56.0,1650.0,880.8889,2813.4468,0,0.0,no,yes,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
101,43258,12.0,22.0,3.0,1457.1428,483.85715,2534.3,0,8.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
102,40162,3.0,21.0,8.0,1450.0,811.1111,2502.53,0,6.0,no,yes,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
103,25258,0.0,26.0,33.0,1638.8889,1071.5555,3436.8823,0,4.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,night shift (hotel)
104,14382,6.0,26.0,50.0,1666.6666,3060.7778,5126.0635,4,10.0,yes,yes,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
105,40034,12.0,19.0,9.0,1450.0,687.8889,2461.83,0,10.0,no,yes,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
106,11390,26.0,31.0,59.0,1700.0,2750.4443,4771.5454,0,25.0,no,no,yes,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
107,6362,24.0,29.0,82.0,1850.0,2732.6667,4894.708,3,12.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
108,35006,0.0,23.0,21.0,1500.0,724.44446,2414.85,0,0.0,no,no,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
109,36314,0.0,23.0,19.0,1500.0,1032.2222,2728.0767,0,4.0,no,no,yes,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
110,4448,0.0,35.0,92.0,1750.0,2153.3333,4269.2964,11,10.0,yes,no,yes,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
111,15444,0.0,27.0,49.0,1650.0,1208.6666,3271.78,0,11.818182,no,yes,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
112,29248,36.0,27.0,26.0,1550.0,932.8889,2749.6323,1,10.0,yes,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
113,32804,0.0,23.0,23.0,1533.3334,661.44446,2405.5623,0,8.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
114,21604,12.0,24.0,37.0,1600.0,1118.2222,3038.0278,0,16.0,no,no,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
115,40174,0.0,28.0,8.0,1450.0,740.2222,2406.5823,1,2.0,yes,no,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
116,14374,0.0,28.0,50.0,1650.0,1562.0,3362.3633,0,10.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
117,23742,0.0,21.0,35.0,1683.3334,803.2222,2544.8833,0,8.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
118,11868,60.0,30.0,57.0,1650.0,918.3333,2767.9133,0,10.0,no,no,yes,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
119,24608,120.0,34.0,34.0,1650.0,1399.2222,3828.9922,13,3.0,yes,no,yes,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,phone call group
120,30308,0.0,21.0,25.0,1583.3334,1276.7778,3713.081,0,0.0,no,yes,no,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,night shift (hotel)
121,22284,0.0,21.0,36.0,1600.0,988.2222,3478.6633,1,0.0,yes,yes,yes,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,phone call group
122,40316,30.0,25.0,8.0,1450.0,808.6667,2529.3367,0,4.0,no,yes,yes,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
123,44408,40.0,22.0,2.5,1500.0,138.5,1643.13,0,10.0,no,no,yes,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
